,subject,predicate,object
97,Mohamed Salah,total goals in national cup in season 2010–11 ,1
69,Mohamed Salah,play season 2016–17 for,Roma
10,Mohamed Salah,total matches with Al Mokawloon Al Arab club,44
95,Mohamed Salah,total goals in league in season 2010–11 ,4
53,Mohamed Salah,total goals in league with Liverpool club ,117
101,Mohamed Salah,total goals in continental competition in season 2010–11 ,—
39,Mohamed Salah,total goals in continental competition with Chelsea club ,0
93,Mohamed Salah,total goals in season 2010–11 ,5
217,Mohamed Salah,total goals in national cup in season 2020–21 ,3
174,Mohamed Salah,total matches in league in season 2016–17 ,31
38,Mohamed Salah,total matches in continental competition with Chelsea club ,2
34,Mohamed Salah,total matches in national cup with Chelsea club ,2
147,Mohamed Salah,total goals in national cup in season 2014–15 ,0
158,Mohamed Salah,total matches in league cup in season 2014–15 ,—
89,Mohamed Salah,total goals in league cup in season 2009–10 ,—
45,Mohamed Salah,total goals in national cup with Roma club ,2
188,Mohamed Salah,total matches in league cup in season 2017–18 ,0
113,Mohamed Salah,total goals in season 2012–13 ,10
3,Mohamed Salah,total goals in national cup,13
28,Mohamed Salah,total matches in continental competition with Basel club ,26
181,Mohamed Salah,total goals in continental competition in season 2016–17 ,2
73,Mohamed Salah,play season 2020–21 for,Liverpool
145,Mohamed Salah,total goals in league in season 2014–15 ,0
180,Mohamed Salah,total matches in continental competition in season 2016–17 ,8
77,Chelsea,part of,Premier League
130,Mohamed Salah,total matches in continental competition in season 2013–14 ,10
84,Mohamed Salah,total matches in league in season 2009–10 ,3
122,Mohamed Salah,total matches in season 2013–14 ,29
182,Mohamed Salah,total matches in season 2017–18 ,52
207,Mohamed Salah,total goals in national cup in season 2019–20 ,0
6,Mohamed Salah,total matchs in continental league,108
33,Mohamed Salah,total goals in league with Chelsea club ,2
212,Mohamed Salah,total matches in season 2020–21 ,51
159,Mohamed Salah,total goals in league cup in season 2014–15 ,—
56,Mohamed Salah,total matches in league cup with Liverpool club ,3
201,Mohamed Salah,total goals in continental competition in season 2018–19 ,5
167,Mohamed Salah,total goals in national cup in season 2015–16 ,0
149,Mohamed Salah,total goals in league cup in season 2014–15 ,0
127,Mohamed Salah,total goals in national cup in season 2013–14 ,1
216,Mohamed Salah,total matches in national c in season 2020–21 ,2
40,Mohamed Salah,total matches with Roma club,83
48,Mohamed Salah,total matches in continental competition with Roma club ,15
26,Mohamed Salah,total matches in league cup with Basel club ,0
173,Mohamed Salah,total goals in season 2016–17 ,19
